rating,review_text,steming_data
1,"Aplikasi ngebug, tidak bisa dibuka dan diakses padahal spesifikasi hp saya sangat memadai dengan ram 16 gb dan internal 256 gb dengan cpu snapdragon 7gen 2 mobile octacore max 2,4 Ghz. Sangat disayangkan padahal aplikasi ini sangat penting untuk pengerjaan tugas verval data keluarga. Harusnya aplikasi sudah siap dan ready serta sudah uji layak kualitas ketika akan digunakan oleh stakeholder yang terkait.",aplikasi ngebug buka akses spesifikasi hp pada ram gb internal gb cpu snapdragon gen mobile octacore max ghz sayang aplikasi kerja tugas verval data keluarga aplikasi ready uji layak kualitas stakeholder kait
2,Maaf bintang cuman dua Karena aplikasinya setiap masuk keluar sendiri. Lelet,maaf bintang cuman aplikasi masuk lelet
1,aplikasi tidak bisa di buka close terus,aplikasi buka close
1,baik,nan
2,aplikasi sering eror terus mau isi hasil pendampingan jadi susah,aplikasi eror isi hasil damping susah
1,ampun bang jago patut di kasih bintang 1,ampun abang jago patut kasih bintang
1,"tolong diperbaiki yah, kalo emang belum siap untuk dipakai jangan di saran lewat aplikasi meretpogkan pengguna",tolong baik ya pakai saran aplikasi meretpogkan guna
1,cape bulak balik yang muncul tulisan robot,capek bulak muncul tulis robot
1,susah login nya gagal terus,susah login ya gagal
1,"apk sulit e poll apk sering eror dah coba berkali "" tetep gagal nk gawe apk ki mbok Yo ora ruwet""",apk sulit e poll apk eror coba kali gagal nk gawe apk ki mbok ya ora ruwet
1,sudah download d 3 hp TPI GK bisa ke buka mental terus tolong d perbaiki LG aplikasinya 🙏🏻🙏🏻🙏🏻,download hp buka mental tolong baik aplikasi
1,kenapa tiap mau di buka nggak bisa terus bagaimana mau melakukan pendampingan kalau aplikasinya tak bisa d pergunakan,buka damping aplikasi guna
1,"tidak bisa masuk,lemahhh",masuklemahhh
2,sdh pakai Android 6 lebih masih belum bisa masuk,pakai android masuk
1,"buruk, udh selesai akad dan resepsi tetap hasilnya menunggu verifikasi..",buruk selesai akad resepsi hasil tunggu verifikasi
1,"kalo aplikasi tidak berguna untuk apa di buat, padahal di situ udah tau di perlukan tapi aplikasi Gk bisa di buka,",aplikasi guna situ tau perlu aplikasi buka
1,aplikasi kapan d perbaikan buka aplikasi mental terus 👎👎👎👎👎,aplikasi baik buka aplikasi mental
1,"Aplikasi mau di gunakan gk bisa masuk, di klik masuk keluar lagi begitu seterusnya",aplikasi masuk klik masuk
1,"apk nga jelas,bikin apk ko ky gini merepotkan,ibarat mau ngurus nikah di persulit harus ada elsimil",apk jelasbikin apk kaya merepotkanibarat urus nikah sulit elsimil
1,"terverifikasi tapi gk bisa donlodt sertivikat nya , gimana apk ny",verifikasi donlodt sertivikat ya apk nya
2,"kenapa y SDH masuk berulang kali tetap dak bisa masuk, apa mungkin eror y aplikasi ini tolong penjelasanya",ya masuk ulang kali indak masuk eror ya aplikasi tolong jasa
1,aplikasi penting tp gak bisa digunakan... hrsnya dg mudah diakses malah mental trs.. herannnn n,aplikasi mudah akses mental herannnn n
1,baru masuk langsung keluar sndiri apk nya,masuk langsung apk ya
1,tidak bisa d buka apk nya,buka apk ya
1,loading lama tidak terbuka,loading buka
1,error aplikasi y mental mulu,error aplikasi ya mental mulu
2,"sudah bikin akun, tapi pas mai masuk tetiba logout sendiri terus.. bagaimana ini. saya harus segera buat sertifikatnya",bikin akun pas masuk tetiba logout sertifikat
1,Buruk sekali😡😡😡😡😡,buruk
1,kenapa kata sandi Yang benar terus di salah Kan 😔,sandi salah
1,"aplikasi sering close sendiri, kalau belum bisa update pakai aplikasi mending manual, smg cepat teratasi. thanks",aplikasi close update pakai aplikasi mending manual moga cepat atas thanks
1,Terdapat kendala Bug sehingga gagal masuk Apkikasi,kendala bug gagal masuk apkikasi
1,"saya coba dari kemarin masuk siga mobile gagal terus, padahal mau mendaftarkan catin catin mohon info nya untul elsimil catin 🙏",coba kemarin masuk siga mobile gagal daftar catin catin mohon info ya untul elsimil catin
1,"kecewa tiap mau masuk mental lagi mental lagi udah download beberapa kali tak kirain hp nya yang error ternyata apk nya,, gimana TPK mau kerja kalau kaya gini mah",kecewa masuk mental mental download kali hp ya error apk ya tpk kerja kayak mah
1,siga mobile tidak bisa di buka aja kenapa ya,siga mobile buka ya
1,"aplikasinya bisa di instal, tapi tdk bisa masuk",aplikasi instal masuk
1,gk bidsa di buka apkiksi di talet,bidsa buka apkiksi talet
1,"1 bintang sj ,karena tidak bisa buka",bintang buka
1,kenapa kok susah di buka ya..,susah buka ya
1,"mental melulu, gabisa login",mental melulu login
1,aplikkkasi peyokk,aplikkkasi peyokk
1,Beginilah aplikasi pemerintah wkwkkwkwkwkwk banyakin lagi pak markupnya wkwkwkwkkwkwkwkk,aplikasi perintah wkwkkwkwkwkwk banyak markupnya wkwkwkwkkwkwkwkk
1,"sumpah ini aplikasi apa sih, mau ngisi data gak bisa bisa, diperbaharui terus sampai bosan ubdatenya",sumpah aplikasi sih ngisi data baharu bosan ubdatenya
1,ngga jelas,nan
1,android versi ios berapa yang direkomendasikan? soalnya di Hp android Samsung A10 terjadi bug....😒😒😒,android versi ios rekomendasi hp android samsung a bug
1,gk bisa dipakai sama sekali,pakai
2,"tidak bisa di buka, dan selalu error.",buka error
1,"knp GK bisa digunakan aplikasi siga mobile, udah download, dibuka terpental trs, padahal android lainya bisa,",aplikasi siga mobile download buka pental android lai
2,"sudah berulangkali install,uninstall,ttp aja ga bs kebuka slalu kepental kluar lgi. bener2 ga ngerti lgi mau gimana,sdgkan tugas sudah menunggu utk di isi. Tim TPK lieur. tolong banget dong cepat2 diperbaiki lgi,biar lbh sempurna",berulangkali installuninstallttp buka pental erti gimanasdgkan tugas tunggu isi tim tpk lieur tolong banget cepat baik lgibiar sempurna
1,tidak bisa beroperasi dengan baik,operasi
1,"gabisa di buka, tbtb keluar. kyk aplikasi berhenti gtuuu. gajelas 😭😭😭",buka tbtb kayak aplikasi henti gtuuu
1,aplikasi tau nyusahin orang mau nikah,aplikasi tau susah orang nikah
1,apakah aplikasi ini penipuan? saya sudah mendaftar tapi kenapa saat saya masuk tidak bisa ?? saya sudah mengisi data saya,aplikasi tipu daftar masuk isi data
1,"tolong segera perbaiki, pas pengisian data tiap mau mengisi data selalu jadi double double hurufnya harus dihapus ulang terus menerus. lalu nik tidak terbaca padahal sudah benar",tolong baik pas isi data isi data double double huruf hapus ulang terus nik baca
1,"tidak bisa di buka, padahal ini mnjadi syarat untuk para catin, jadi tidak membantu😪",buka syarat catin bantu
1,ini gmna sih. udh bikin akun. suruh verifikasi tapi ga ada email yang masuk.. gajelas banget,sih bikin akun suruh verifikasi email masuk banget
1,"aplikasi tidak bisa digunakan jika kita sudah pilih log out, pasword dan sandi yang kita punya tidak bisa dimasukkan kembali.",aplikasi pilih log out pasword sandi masuk
1,"Aplikasi yang butuh kesabaran tingkat tinggi, kalau anda emosian hati2 menggunakan aplikasi ini.",aplikasi butuh sabar tingkat emosi hati aplikasi
1,apk tiba jalan sampah ga guna,apk jalan sampah
1,susah untuk dibuka kenapa ya,susah buka ya
1,"gabisa masuk, download sertifikat gabisa",masuk download sertifikat
2,"aplikasi terhenti terus,, gagal terus,, gimana laporan bisa beres",aplikasi henti gagal lapor beres
1,baru update tapi gak misa masuk,update misa masuk
1,"Gak bisa digunakan, niat gk sih yg bikin aplikasi ni???... 😢",niat sih bikin aplikasi nih
1,"gak bisa kerja, aplikasinya pas dibuka langsung keluar sendiri langsung mental, boro2 masukkan akun, menuh2in memori hp",kerja aplikasi pas buka langsung langsung mental boro masuk akun menuhin memori hp
1,tolong perbaiki aplikasinya masa baru dibuka langsung keluar,tolong baik aplikasi buka langsung
1,gimana ini ga bisa ke buka aplikasinya,buka aplikasi
1,"Coba diperbaiki dulu aplikasinya, setiap mau masuk selalu di arahkan terus ke play store. Biar sudah di perbaharui, tetap saja masih sama seperti sebelumnya, tidak ada perubahan sama sekali. Kenapa aplikasi semakin diperbaharui semakin bobrok😏 Coba perbaiki dulu, masa hasil inputannya kami tidak terbaca!",coba baik aplikasi masuk arah play store biar baharu ubah aplikasi baharu bobrok coba baik hasil inputannya baca
1,"tpk mau kerja selalu nggk bisa masuk, log out sendiri.. segini banyaknya komplain msk pihak terkait diam saja?",tpk kerja masuk log out gin banyak komplain masuk kait diam
1,aplikasi siga mobile tidak bisa dibuka,aplikasi siga mobile buka
2,susa banget masuk apk nya mental trus,susa banget masuk apk ya mental
1,aplikasi apalahhhh iniii ga ada gunanya masa keluar terus,aplikasi apalahhhh guna
1,"tetep mental keluar terus saat login, mohon diperbaiki",mental login mohon baik
2,"tidak bisa masuk di aplikasi, baru di buka langsung keluar lagi",masuk aplikasi buka langsung
1,"Tolong di perbaiki dong, agar ketika kami abis input kk yang satu, kk itu langsung di pisahin dengan yang belum di input agar kami tidak kesusahan. Misalnya, saya sudah menginput kk sebanyak 70 kali, yang seharusnya langsung lanjut ke 71-seterusnya...ini malah kembali ke nomor 1 lagi. Kan, jadinya ribet banget scrolling sampe cape.. ditegur teman/bos karena dikira kerja lambat, padahal salah satu penghambatnya itu yahh ini, scroll mulu dah. Cobak di perbaiki dong, agar di pisahin yg udh dn belum",tolong baik habis input kakak kakak langsung pisahin input susah menginput kakak kali langsung seterusnyaini nomor ribet banget scrolling capek tegur temanbos kerja lambat salah hambat ya scroll mulu coba baik pisahin
1,harus punya hp tertentu baru bisa akses ini aplikasi,hp akses aplikasi
1,"tdk bisa dibuka, bgmn ini?",buka
2,aplikasi nya suka. keluar sendiri'',aplikasi ya suka
1,tidak bisa dibuka,buka
2,tidak bisa dibuka,buka
1,tidak bisa di buka,buka
1,Kenapa setiap di buka keluar terusss,buka
1,ini aplikasi knp yaa tiap mau daftar aplikasinya keluar2 sendiri trs dan berulang,aplikasi ya daftar aplikasi ulang
1,aplikasi nya tidak bisa masuk.,aplikasi ya masuk
1,"tolong diperbaiki aplikasinya karena setiap ingin masuk ke aplikasinya selalu keluar,bagaimana TPK mau kerja sedangkan data diminta secepatnya 🥺",tolong baik aplikasi masuk aplikasi keluarbagaimana tpk kerja data cepat
1,susah di buka aplikasi nya,susah buka aplikasi ya
1,kenapa setiap mau masuk apk selalu mental ke menu?!!,masuk apk mental menu
1,aplikasi tidak bisa di buka,aplikasi buka
1,udah update malah g bisa di buka !!,update buka
1,"tapi kita di haruskan punya sertifikat ini tapi kenapa aplikasinya keluar terus, gk bisa masuk setelah mau login",harus sertifikat aplikasi masuk login
1,aplikasi tdak bis dibuka,aplikasi bis buka
1,kok nggk bisa di buka trs ya aplikasinya.. kbali2 trs,buka ya aplikasi kbali
1,apk cacat ga bisa masuk,apk cacat masuk
2,5f aku kasih bintang 2 soalnya gak bisa masuk apk.,f kasih bintang masuk apk
1,"Gimana mau ngerjain tugasnya tok kalo aplikasi siga nya aja ngga bisa di buka, setiap di buka langsung keluar. pdhl sudah dicoba berulang2 tp hasilnya ttp sama selalu ga bisa dibuka. maaf saya kasih bintang 1 dulu.",ngerjain tugas tok aplikasi siga ya buka buka langsung coba ulang hasil buka maaf kasih bintang
2,susah d buka aplikasinya knp ya padahal data d hp udah sy riset semua,susah buka aplikasi ya data hp riset
1,mental melulu benerin dong ..bagaimana kita mau update masalah warga kalau aplikasinya begini,mental melulu benerin update warga aplikasi
1,"siga mobile tidak bisa masuk,, sementara kita dikejar waktu,, bagaimana mau kerja,",siga mobile masuk kejar kerja
1,Sering error,error
1,"tolong di perbaiki siga mobilenya,setiap saya buka selalu saja terpental keluar🤦,jadi saya sebagai TPK tidak bisa melaksanakan tugas karena baru saja di buka sudah tidak bisa,🙏",tolong baik siga mobilenyasetiap buka pental keluarjadi tpk laksana tugas buka
1,"Kenapa tiba2 tdk bisa dibuka ya? Sy klik buka, tp selalu keluar sendiri.",buka ya klik buka
1,"aplikasi Ter parah sih jujur ribet banget , tiap instal masuk balik lagi ke awal ga bisa masuk menu sedangkan kita dikejar target buat ngerjain laporan zad !!",aplikasi ter parah sih jujur ribet banget instal masuk masuk menu kejar target ngerjain lapor zad
1,Apk macam apa ini tidak bisa di buka sama sekali,apk buka
1,ga bisa masuk,masuk
1,aplikasi bosok,aplikasi bosok
1,tidak bisa di buka,buka
1,aplikasi rusak gabisa dipakai,aplikasi rusak pakai
1,"ada bug, crash saat login, aplikasi tidak bisa dibuka sama sekali.",bug crash login aplikasi buka
1,jelekkkkkk... gbsa normal. nyimpen data gagal mulu,jelekkkkkk gbsa normal simpan data gagal mulu
1,aplikasi ny sama sekali tidak bagus.di buka mala pental trus bikin pusing dan bingung apa salah ny. trus kata teman saya mau di simpan susah x GK bisa. trus banyak sekali pertanyaan di luar Nurul. yg bikin ibu hamil salah sangka. kedepannya mohon di perbaiki LG,aplikasi nya bagusdi buka mala pental bikin pusing bingung salah nya teman simpan susah kali nurul bikin hamil salah sangka depan mohon baik
1,kenapa saya tidak bisa masuk ke aplikasi ini mohon bantuan nya,masuk aplikasi mohon bantu ya
1,APLIKASI BURUK BURIK PENGALAMAN YG SANGAT TIDAK BERGUNA,aplikasi buruk burik alam guna
1,susah masuk aplikasi.y,susah masuk aplikasiy
2,mohon bgmna masuk di Aplikasi Siga mobile ini..krna mau kerjakan tugas isi dta2 TPI selalu gagal masuk.. baru mau buka aplikasi lngsung aja kluar.. jdi smpe skrg GK bisa bukaa Aplikasi ini🙏,mohon masuk aplikasi siga mobile inikrna kerja tugas isi dta gagal masuk buka aplikasi langsung bukaa aplikasi
1,apk di hp oppo a9 2020 gak bisa digunakan,apk hp oppo a
1,"aplikasi sangat buruk, mendaftar sudah lebih 2 minggu ttpi tidak di konfirmasi.",aplikasi buruk daftar minggu ttpi konfirmasi
1,kesal kadang dgn aplikasi.... kemaren elsimil...dah disuruh siga mobile....udh saya donlod mlh selaluu kembali keawal gak mau terbuka ....beresin dulu aplikasi nya biar kami semgat tuk input....,kesal kadang aplikasi kemarin elsimildah suruh siga mobileudh donlod awal buka resin aplikasi ya biar semgat input
1,aplikasi tidak bisa terbuka sama sekali setelah update meskipun sudah diinstall ulang bolak-balik. tolong segera diperbaiki agar tidak menghambat proses input data.,aplikasi buka update diinstall ulang bolakbalik tolong baik hambat proses input data
1,untuk mate pas 11.5 belum bisa selalu keluar tolong di perbarui supaya di pad juga bisa menggunakan,mate pas tolong baru pad
2,gakbisa dibuka . tiba tiba keluar sendiri apknya,gakbisa buka apknya
1,sangat2 tidak bagus copot saja apk nya,bagus copot apk ya
1,setelah update ke versi terbaru tidak bisa dibuka,update versi baru buka
1,mau buka kok gagal terus gimana ini aplikasinya,buka gagal aplikasi
1,apk nya ga bisa buat daftar. bikin biodata ga bisa ke bawahin. tolong lah,apk ya daftar bikin biodata bawahin tolong
1,aplikasi ini saat diinstal tdk bs utk dibuka,aplikasi diinstal buka
1,aplikasi ini tidak bisa dibuka,aplikasi buka
1,aplikasi ga masuk akal,aplikasi masuk akal
1,"aplikasi tidak bisa dibuka, bagaimana ya? mohon segera ditindak lanjuti karena akan memperlambat kerja tpk nanti",aplikasi buka ya mohon tindak lanjut lambat kerja tpk
1,tiap buka aplikasi blm sampai dipake kerja udah langsung keluar sendiri. menyedihkan,buka aplikasi pakai kerja langsung sedih
1,di instal gampang tapi susah masuk.. tolong perbaiki server ny..,instal gampang susah masuk tolong baik server nya
2,"aplikasi nya tekeluar terus, tidak bisa dibuka",aplikasi ya tekeluar buka
2,"saya mau masuk kepental trs ini ngga bisa, jadi gimana mau kerja ya",masuk pental kerja ya
1,aplikasi tolong diperbaiki ketika mau masuk aplikasi malah forclose keluar sendiri tolong segera diperbaiki,aplikasi tolong baik masuk aplikasi forclose tolong baik
1,ga bisa di buka,buka
1,tidak bisa d buka,buka
1,membuat saya emosi . sudah d coba berkali kali tetep aja gak bisa,emosi coba kali kali
1,jelek,jelek
1,kenapa sekarang aplikasi siga mobile di buka ga bisa selalu kembali,aplikasi siga mobile buka
1,masih terdapat bug tidak bisa login,bug login
2,gak bisa masuk,masuk
1,APLIKASI TOLOLLLLLLLLL NON FAEDAHHHHHH,aplikasi tololllllllll non faedahhhhhh
1,"aplikasi murahann,, duittnya dikorupsi gak bisaaa di pakee,, sandi sudah benar tetep gak bisa login",aplikasi murahann duittnya korupsi pakee sandi login
2,sudah buru-buru mau kerja verval tapi tetap aplikasinya keluar masuk saja. 🥺tidak bisa di akses. akhirnya vervalnya di tunda lagi dulu.,buruburu kerja verval aplikasi masuk akses vervalnya tunda
1,aplikasi siga mobile terus berhenti tdk bisa di download,aplikasi siga mobile henti download
1,sering memuat ulang dan sering eror,muat ulang eror
2,maaf untuk saat ini saya kasih bintang 2 Gimana bisa kerja kalo aplikasi nya masih begini susah buat masuk ke aplikasi. Tolong perbaiki udah berbulan-bulan aplikasi ga bisa di pake,maaf kasih bintang kerja aplikasi ya susah masuk aplikasi tolong baik berbulanbulan aplikasi pakai
1,tidak bisa masuk aplikasi,masuk aplikasi
1,"tidak bisa masuk aplikasi, baru mau masuk keluar sendiri",masuk aplikasi masuk
1,"mental jika d buka,gabisa di pake",mental bukagabisa pakai
1,tidak bisa dipasang aplikasinya gimana nanti kita mau infut,pasang aplikasi infut
1,hanya bisa di dowload oleh hp tertentu,dowload hp
1,aplikasi aneh rubah data gk bisa..,aplikasi aneh rubah data
2,aplikasinya kembali terus,aplikasi
1,"sangat buruk, mau masuk ke aplikasi selalu keluar dengan sendirinya",buruk masuk aplikasi
1,"server eror , tidak bisa diakses .. harusnya memudahkan tapi malah sebaliknya",server eror akses mudah
1,"parah nih aplikasinya, Tolong segera diperbaiki sy coba sampai 3 hari tetep ga bisa masuk, udah coba uninstal, instal ulang tetep ga bisa, padahal sudah bagus pakai sistem elektronik mempermudah, nanti kalau sudah bener aplikasinya sy tmbah bintangnya lagi !!",parah nih aplikasi tolong baik coba masuk coba uninstal instal ulang bagus pakai sistem elektronik mudah aplikasi bintang
1,"tolong segera di perbaiki, mau menyimpan data tetep gagal terus",tolong baik simpan data gagal
1,aplikasi telah terhenti..... begitu terus sampai hari berganti bulan berganti tahun...gak jelas,aplikasi henti ganti ganti tahungak
1,"tidak bisa di buka, padahal banyak aplikasi q yg jadi korban untuk di hapus, bangai mana mau mengerjakan tok kalau begini cara nya 😄",buka aplikasi ku korban hapus bangai tok ya
1,selalu gagal dibuka padahal ini hanya apk sederhana,gagal buka apk sederhana
1,kok gini se mau dibuka susah bgt kek mental,buka susah banget kayak mental
1,caranya gimana ya biar bisa simpan,ya biar simpan
1,aplikasiii apaa sihh ga bisa digunakan ga guna bgt. upgrade dong masa di play store iphone gaada di android baru mencet mental.,aplikasiii sih banget upgrade play store iphone android mencet mental
1,Sekelas apk kementerian koq begini ?,kelas apk menteri
1,aplikasi apaan...di buka mental terus....,aplikasi apaandi buka mental
1,apk apa ini gk bisa masuk,apk masuk
1,"syarat nikah diharuskan download aplikasi ini dan ngisi2 data. boro2 ngisi, masuk aja mental terus. gimana sih",syarat nikah harus download aplikasi ngisi data boro ngisi masuk mental sih
1,sama sekali tidak bisa di buka. kalau membikin aplikasi mending di uji coba dl. biar tidak menyusahkan pengguna.,buka bikin aplikasi mending uji coba biar susah guna
1,aplikasi sudah bagimna ni,aplikasi bagimna nih
1,"aplikasi bobrok, bukannya mempermudah masyarakat malah mempersulit ngabisin anggaran pajak negara",aplikasi bobrok mudah masyarakat sulit ngabisin anggar pajak negara
1,ngk bisa di bukak aplikasi nya,buka aplikasi ya
1,aplikasi tidak bisa di gunakan bagaimna kita bisa masukan data.. tolonglah supaya di perbaiki,aplikasi masuk data tolong baik
1,apk kalo buat instansi emang bad banget ... menunggu verif lama banget untuk pendaftaran mandiri ..gile aja era digital kek gini masih ada apk model apa ini,apk instansi bad banget tunggu verif banget daftar mandiri gila era digital kayak apk model
1,"tolong dong aplikasi nya selalu bermasalah setiap mau download sertifikat elsimil, menghambat pekerjaan banget",tolong aplikasi ya masalah download sertifikat elsimil hambat kerja banget
1,baru ge mau unduh suka tbtb keluar sendiri aplikasi penting tp pelayanan nya gajls bgt suka keluar sendiri,ge unduh suka tbtb aplikasi layan ya gajls banget suka
1,mempersulit yang mau menikah....aplikasi eror terus GK bisa login. kdang keluar sendiri,sulit menikahaplikasi eror login kadang
1,tidak bisa unduh sertifikat,unduh sertifikat
1,"tolong perbaiki lagi,jika ini salah satu persyaratan dari pernikahan. susah banget buka aplikasinya. sudah download sudah daftar gak bisa masuk.mental keluar terus. di coba semua HP sama ajah. sudah hapus beberapa aplikasi juga sama ajah gak bisa di buka..MOHON DI PERMUDAH",tolong baik lagijika salah syarat nikah susah banget buka aplikasi download daftar masukmental coba hp hapus aplikasi bukamohon mudah
1,perbaiki!,baik
1,dak bisa masuk,indak masuk
1,tolong sarannya ya....ini kenapa kok aplikasinya nggak bisa di buka....apa pengaruh dari merek hp nya,tolong saran yaini aplikasi bukaapa pengaruh merek hp ya
1,"tidak bisa masuk aplikasi, gimana ini perbaikan nya",masuk aplikasi baik ya
1,jelek banget sumpah apk gajelas,jelek banget sumpah apk
1,mau nikah aja dipersulit.. parah app close terus.,nikah sulit parah app close
2,"Gk bisa d buka, jadi tertunda kerjaannya",buka tunda kerja
1,awalnya bagus namun sekarang saat ingin membuka aplikasi malah terpental tidak bisa masuk dan dicoba terus tetap tidak bisa,bagus buka aplikasi pental masuk coba
1,"memperibet catin, udh login susah, ketika data sudah di isi malah tidak bisa download sertifikat",memperibet catin login susah data isi download sertifikat
1,jika salah tidak bisa merubah,salah rubah
1,"Saya kira aplikasi ini efektif, ternyata tidak",aplikasi efektif
2,serifikat elsimil selalu gagal kalau di download,serifikat elsimil gagal download
2,.ini kenapa ya kalau mau masuk terpental terus..ada tugas yg harus di kerjain..mlah gag bisa masuk ke aplikasi... .mohon segera di perbaiki...,ya masuk pental usada tugas kerjainmlah masuk aplikasi mohon baik
1,"aplikasi tdk bisa di gunakan, HP sdh diinstal ke pabrik, &dikosongin smua memori juga gak bisa di gunakan. bagai mana caranyanya mau melaporkan pendampingan di elsimil. mohon pd bapak ibu ITU untk di perbaiki aplikasinya, agak kmi bisa bekerja dgn baik.",aplikasi hp diinstal pabrik dikosongin memori caranyanya lapor damping elsimil mohon baik aplikasi
1,gagal masuk,gagal masuk
2,"apk ini masih di pake gak? soalnya ga bisa dibuka sama sekali. kalo ada apk terbaru, nama apk nya apaaa?",apk pakai buka apk baru nama apk ya
1,"masa baru download mau daftar nggk bisa masuknya , loading terus ini gimana si kan harusnya aplikasi ini mempermudah malah bikin puyeng mas udah ada aplikasinya ujung ujungnya ke kantor kb karna nggk bis akses . tolong untuk ditindak lanjuti",download daftar masuk loading sih aplikasi mudah bikin puyeng mas aplikasi ujung ujung kantor kb bis akses tolong tindak lanjut
1,bug gak bisa di buka,bug buka
1,setiap mau masuk aplikasi kok keliar sendiri.. bagaimana ini? sudah dinstal ulang ttp sama aja..,masuk aplikasi keliar dinstal ulang
1,aplikasi susah masuk gk jelas,aplikasi susah masuk
2,setelah masuk aplikasi g bisa kembali lagi ke aplikasi awal sehingga tidak bisa memasukkan data,masuk aplikasi aplikasi masuk data
1,"untuk pelayanan, aplikasinya kurang mantap. jangan kalah dengan swasta",layan aplikasi mantap kalah swasta
1,"angaran pemerintah buat apa aja,eror Mulu ,,kami izin kerja buat ngurus ginian izin nya susah ,mau daftar online malah seperti ini,,,, gak kompeten",angaran perintah ajaeror mulu izin kerja urus izin ya susah daftar online kompeten
2,mengapa sertifikat tidak bisa didownload?,sertifikat didownload
1,aplikasi erorr,aplikasi erorr
1,"aplikasi berhenti secara paksa dan setelah mencoba membuka aplikasi lagi, aplikasi tidak merespon",aplikasi henti paksa coba buka aplikasi aplikasi merespon
1,aplikasi keluar sendiri,aplikasi
1,"aplikasi yang sangat buruk, bukannya mempermudah dari persyaratan malah nambah ribet. log in gk bisa, verifikasi gk keluar, sertifikat gk bisa didownload. mohon perbaiki dan jadikan semua lebih mudah dengan menggunakan aplikasi ini.",aplikasi buruk mudah syarat tambah ribet log verifikasi sertifikat didownload mohon baik jadi mudah aplikasi
1,"apk bug, tidak bisa membuka tolong d perbaiki",apk bug buka tolong baik
1,sinyal jelek,sinyal jelek
2,tidak bisa di buka,buka
1,aplikasi yg tidak ada penanggung jawab. klw bermasalah jgn diharuskan untuk buat sertifikat yg melalui apk ini.. menyusahkan.,aplikasi tanggung masalah harus sertifikat apk susah
1,"apk yang mepersulit catin, di bukak mental2 udah daftar gak bisa di donwload pdf nya, waktu udah mepet juga, PAYAHH...",apk mepersulit catin buka mental daftar donwload pdf ya mepet payah
